date_time: 2023-01-21T01:33:44.000, MJD: 59964.836228096, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.512288, azimuth: -77.242813, rotator: 105.827669, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:45.000, MJD: 59964.836237034, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.509651, azimuth: -77.241801, rotator: 105.828621, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:46.000, MJD: 59964.836246104, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.506597, azimuth: -77.240653, rotator: 105.829317, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:47.000, MJD: 59964.836259934, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.478, altitude: 42.502045, azimuth: -77.238917, rotator: 105.830600, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:48.000, MJD: 59964.836270429, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.498658, azimuth: -77.237625, rotator: 105.831630, temperature: 3.3, humidity: 22.1
date_time: 2023-01-21T01:33:49.000, MJD: 59964.836280596, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.495634, azimuth: -77.236468, rotator: 105.832434, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:50.000, MJD: 59964.836289087, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.493345, azimuth: -77.235597, rotator: 105.832999, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:51.000, MJD: 59964.836301910, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.490058, azimuth: -77.234348, rotator: 105.834222, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:52.000, MJD: 59964.836311982, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.486664, azimuth: -77.233247, rotator: 105.835149, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:52.000, MJD: 59964.836318757, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.484132, azimuth: -77.232094, rotator: 105.835776, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:53.000, MJD: 59964.836326208, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.481352, azimuth: -77.231029, rotator: 105.836613, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:54.000, MJD: 59964.836338708, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.477539, azimuth: -77.229580, rotator: 105.837525, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:55.000, MJD: 59964.836347771, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.475423, azimuth: -77.228783, rotator: 105.838154, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:55.000, MJD: 59964.836356487, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.472891, azimuth: -77.227711, rotator: 105.839074, temperature: 3.3, humidity: 22.2
date_time: 2023-01-21T01:33:57.000, MJD: 59964.836368435, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.479, altitude: 42.468844, azimuth: -77.226259, rotator: 105.840382, temperature: 3.3, humidity: 22.1
